distance_m,lat,lon,altitude_m,grade_pct
2565,36.718114,-4.417868,37.2,0.00
2570,36.718126,-4.417815,37.2,0.00
2575,36.718142,-4.417763,37.2,0.00
2580,36.718159,-4.417711,37.2,0.00
2585,36.718178,-4.417661,37.2,0.00
2590,36.718198,-4.417610,37.2,0.00
2595,36.718217,-4.417559,37.2,0.00
2600,36.718235,-4.417508,37.2,0.00
2605,36.718252,-4.417455,37.2,0.00
2610,36.718269,-4.417403,37.2,0.00
2615,36.718284,-4.417351,37.2,0.00
2620,36.718299,-4.417298,37.2,0.00
2625,36.718314,-4.417245,37.2,0.00
2630,36.718329,-4.417193,37.2,0.00
2635,36.718344,-4.417140,37.2,0.00
2640,36.718359,-4.417087,37.2,0.00
2645,36.718372,-4.417034,37.2,0.00
2650,36.718384,-4.416980,37.2,0.00
2655,36.718397,-4.416926,37.2,0.00
2660,36.718409,-4.416872,37.2,0.00
2665,36.718423,-4.416819,37.2,0.00
2670,36.718442,-4.416768,37.2,0.00
2675,36.718454,-4.416714,37.2,0.04
2680,36.718468,-4.416661,37.2,0.10
2685,36.718484,-4.416608,37.2,0.16
2690,36.718498,-4.416556,37.2,0.22
2695,36.718513,-4.416503,37.2,0.28
2700,36.718528,-4.416450,37.2,0.34
2705,36.718543,-4.416397,37.3,0.36
2710,36.718557,-4.416344,37.3,0.36
2715,36.718570,-4.416290,37.3,0.36
2720,36.718582,-4.416236,37.3,0.38
2725,36.718594,-4.416182,37.3,0.44
2730,36.718607,-4.416128,37.4,0.46
2735,36.718620,-4.416075,37.4,0.46
2740,36.718631,-4.416021,37.4,0.46
2745,36.718646,-4.415969,37.4,0.46
2750,36.718659,-4.415915,37.5,0.44
2755,36.718673,-4.415861,37.5,0.38
2760,36.718682,-4.415806,37.5,0.36
2765,36.718696,-4.415753,37.5,0.36
2770,36.718737,-4.415596,37.5,0.35
2775,36.718747,-4.415542,37.6,0.28
2780,36.718760,-4.415488,37.6,0.21
2785,36.718774,-4.415434,37.6,0.15
2790,36.718789,-4.415381,37.6,0.06
2795,36.718802,-4.415329,37.6,-0.06
2800,36.718817,-4.415275,37.6,-0.17
2805,36.718833,-4.415222,37.6,-0.22
2810,36.718846,-4.415169,37.5,-0.28
2815,36.718859,-4.415116,37.5,-0.34
2820,36.718871,-4.415062,37.5,-0.36
2825,36.718886,-4.415009,37.5,-0.35
2830,36.718901,-4.414956,37.5,-0.29
2835,36.718917,-4.414904,37.5,-0.29
2840,36.718933,-4.414852,37.4,-0.29
2845,36.718949,-4.414799,37.4,-0.26
2850,36.718959,-4.414745,37.4,-0.20
2855,36.718976,-4.414692,37.4,-0.15
2860,36.718993,-4.414640,37.4,-0.14
2865,36.719010,-4.414589,37.4,-0.09
2870,36.719026,-4.414536,37.4,-0.03
2875,36.719040,-4.414484,37.4,0.00
2880,36.719054,-4.414431,37.4,0.00
2885,36.719072,-4.414378,37.4,0.00
2890,36.719090,-4.414327,37.4,-0.04
2895,36.719106,-4.414275,37.4,-0.08
2900,36.719121,-4.414222,37.4,-0.08
2905,36.719136,-4.414169,37.4,-0.08
2910,36.719151,-4.414116,37.4,-0.08
2915,36.719164,-4.414063,37.4,-0.08
2920,36.719177,-4.414010,37.4,-0.03
2925,36.719192,-4.413957,37.4,-0.00
2930,36.719205,-4.413903,37.4,-0.05
2935,36.719220,-4.413850,37.4,-0.11
2940,36.719235,-4.413798,37.4,-0.15
2945,36.719252,-4.413745,37.4,-0.11
2950,36.719266,-4.413692,37.3,-0.08
2955,36.719281,-4.413639,37.3,-0.08
2960,36.719295,-4.413586,37.3,-0.03
2965,36.719307,-4.413532,37.4,0.09
2970,36.719316,-4.413478,37.4,0.19
2975,36.719327,-4.413424,37.4,0.25
2980,36.719340,-4.413370,37.4,0.34
2985,36.719356,-4.413318,37.4,0.52
2990,36.719374,-4.413267,37.4,0.75
2995,36.719392,-4.413215,37.5,0.94
3000,36.719410,-4.413163,37.5,1.13
3005,36.719424,-4.413110,37.6,1.31
3010,36.719439,-4.413058,37.7,1.53
3015,36.719457,-4.413006,37.7,1.75
3020,36.719472,-4.412953,37.8,1.95
3025,36.719484,-4.412900,37.9,2.19
3030,36.719498,-4.412846,38.0,2.49
3035,36.719513,-4.412793,38.2,2.80
3040,36.719528,-4.412740,38.3,3.14
3045,36.719540,-4.412686,38.5,3.46
3050,36.719550,-4.412632,38.7,3.79
3055,36.719560,-4.412578,38.9,4.11
3060,36.719569,-4.412523,39.1,4.44
3065,36.719579,-4.412468,39.3,4.72
3070,36.719589,-4.412413,39.5,4.92
3075,36.719597,-4.412358,39.8,4.98
3080,36.719605,-4.412303,40.1,4.96
3085,36.719611,-4.412248,40.3,4.84
3090,36.719618,-4.412192,40.6,4.53
3095,36.719625,-4.412137,40.8,4.11
3100,36.719635,-4.412083,41.0,3.62
3105,36.719638,-4.412027,41.2,3.12
3110,36.719631,-4.411973,41.3,2.54
3115,36.719619,-4.411919,41.4,1.84
3120,36.719595,-4.411845,41.5,1.15
3125,36.719532,-4.411760,41.5,0.45
3130,36.719512,-4.411711,41.5,-0.17
3135,36.719484,-4.411668,41.5,-0.73
3140,36.719452,-4.411630,41.4,-1.24
3145,36.719419,-4.411593,41.4,-1.54
